code,gndr,niveau_sekI,parental_edu,grade7,grade8,grade9,t4_2014,t4_2015,t5_2016,t6_2017,t7_2018
021BL06,1,2,0,3,3,3,5,5,5,8,8
021BL07,2,2,0,3,3,3,6,6,6,7,11
021BL08,2,2,0,3,3,3,5,5,5,9,9
021BL09,2,2,0,3,3,3,5,6,6,6,6
021BL10,1,2,0,3,3,3,6,6,6,7,11
021BL11,1,2,0,3,3,3,99,99,99,99,99
021BL12,1,2,0,3,3,3,6,6,6,10,10
021BL13,1,2,0,3,3,3,99,99,5,9,11
021BL14,1,2,0,3,3,3,6,6,6,7,11
021BL15,1,2,0,3,3,3,5,5,5,8,7
021BL16,1,2,0,3,3,3,6,6,99,7,11
021BL17,2,2,0,3,3,3,7,6,6,6,6
021BL18,2,2,0,3,3,3,6,7,6,7,11
021BL19,2,2,0,3,3,3,6,6,6,8,8
021BL20,1,.m,,99,2,3,6,6,99,99,99
021BL21,2,.m,,99,3,3,6,6,6,8,8
021BS01,2,2,1,2,2,99,6,6,6,7,9
021BS02,2,2,1,2,2,99,5,5,5,9,9
021BS03,2,2,1,2,2,99,99,99,99,99,99
021BS04,2,2,1,2,2,99,99,99,99,99,99
021BS05,2,2,,2,2,99,99,99,99,99,99
021BS06,1,2,,2,2,99,99,99,99,99,99
021BS07,2,2,1,2,2,99,7,98,99,5,99
021BS08,2,2,0,2,2,99,99,99,99,99,99
021BS09,1,2,,2,2,99,99,99,99,99,99
021BS10,1,2,1,2,2,99,99,99,99,99,99
021BS11,2,2,0,2,2,99,99,99,99,99,99
021BS12,1,2,0,2,2,99,99,99,99,99,99
021BS13,1,2,0,2,2,99,99,99,99,99,99
021BS14,1,2,1,2,2,99,99,99,99,99,99
021BS15,1,2,0,2,2,99,99,99,99,99,99
021BS16,1,2,0,2,2,99,99,99,99,99,99
021BS17,1,2,,2,2,99,99,99,99,99,99
021BS18,1,2,0,2,2,99,5,5,5,8,99
021BS20,2,2,1,2,2,99,6,6,6,8,9
021BS21,1,2,,2,2,2,99,99,99,99,99
021BS22,1,2,0,2,2,99,99,99,99,99,99
021BS24,1,.m,,99,99,2,99,99,99,99,99
021BS25,1,.m,,99,99,2,99,99,99,99,99
021BS26,1,.m,,99,99,2,99,99,99,99,99
021BS27,2,.m,,99,99,2,99,99,99,99,99
021BS28,1,.m,,99,99,2,99,99,99,99,99
021BS29,2,.m,,99,99,99,99,99,99,99,99
021BS30,2,.m,,99,99,2,99,99,99,99,99
021GL01,1,2,1,2,2,2,5,5,99,8,8
021GL02,1,2,1,2,2,2,5,5,5,99,8
021GL03,2,2,0,2,2,2,99,99,99,99,99
021GL04,1,2,1,2,2,2,99,99,99,99,99
021GL05,1,2,0,2,2,2,5,5,5,8,8
021GL06,2,2,0,2,2,2,5,5,5,8,8
021GL07,2,2,0,2,2,2,5,5,5,9,9
021GL08,2,2,0,2,2,2,5,5,5,8,99
021GL09,2,2,0,2,2,2,5,5,5,99,8
021GL10,2,2,0,2,2,2,6,6,6,98,11
021GL11,1,2,0,2,2,2,99,99,99,99,99
021GL12,1,2,,2,2,2,5,5,5,8,8
021GL13,2,2,0,2,2,2,99,99,99,99,99
021GL14,2,2,1,2,2,2,5,5,5,8,8
021GL15,1,2,1,2,2,99,99,99,99,99,99
021GL16,2,2,1,2,2,2,99,99,6,6,8
021GL17,2,2,0,2,2,2,99,99,5,8,8
021GL18,2,2,0,2,2,2,6,6,6,8,8
021GR01,1,2,0,2,2,4,6,6,6,11,5
021GR02,2,2,0,2,2,2,99,99,99,99,99
021GR03,1,2,1,2,2,2,99,99,99,99,99
021GR04,2,2,0,2,2,2,99,99,99,99,99
021GR05,1,2,1,2,2,2,99,99,99,99,99
021GR06,1,2,0,2,2,2,99,99,99,99,99
021GR07,1,2,0,2,2,2,5,5,5,8,8
021GR08,2,2,0,2,2,2,99,99,99,5,99
021GR09,2,2,0,2,2,2,99,99,99,99,99
021GR10,2,2,,2,2,2,99,99,99,99,99
021GR11,2,2,0,2,2,2,99,99,99,99,99
021GR12,1,2,0,2,2,2,99,99,99,99,99
021GR13,1,2,0,2,2,2,5,5,5,5,7
021GR14,1,2,1,2,2,2,99,99,99,99,99
021GR15,1,2,1,2,2,2,5,5,99,99,99
021GR16,2,2,1,2,2,2,99,99,99,99,99
021GR17,2,2,0,2,2,2,5,5,5,9,9
021GR18,2,2,0,2,2,2,99,99,99,99,99
021GR19,2,2,,2,2,2,99,99,99,99,99
021LU01,1,1,1,1,1,1,99,99,99,99,99
021LU02,1,2,0,2,1,1,6,5,99,99,99
021LU03,1,1,,1,1,1,99,99,99,99,99
021LU04,1,1,,1,1,1,7,5,99,99,99
021LU05,1,1,1,1,1,1,5,5,5,7,7
021LU06,1,1,1,1,1,1,99,99,5,8,8
021LU07,1,1,1,1,1,1,99,99,99,99,99
021LU08,1,1,0,1,1,1,5,5,99,5,99
021LU09,1,2,,2,1,1,99,99,99,99,99
021LU10,1,1,0,1,1,1,99,99,99,99,99
021LU11,1,1,1,1,1,1,99,99,5,99,99
021LU12,1,1,1,1,1,1,5,5,5,8,8
021LU13,2,1,0,1,1,1,99,99,99,99,99
021LU14,2,1,1,1,1,1,99,99,99,99,99
021LU15,2,1,1,1,1,1,99,99,99,99,99
021LU16,2,1,,1,1,1,99,99,99,99,99
021LU17,2,1,0,1,1,99,99,99,99,99,99
021NW01,1,1,,4,4,4,5,5,5,99,99
021NW02,2,1,1,4,4,4,5,5,5,8,8
021NW03,2,1,0,4,4,4,5,5,99,8,8
021NW04,2,1,0,4,4,4,5,5,5,99,99
021NW05,2,1,1,4,4,4,5,5,5,8,8
021NW06,2,1,0,4,4,4,5,5,8,8,8
021NW07,1,1,0,4,4,4,5,5,5,99,99
021NW08,1,1,0,4,4,4,5,5,5,7,7
021NW09,2,1,1,4,4,4,5,5,5,8,8
021NW10,1,1,0,4,4,4,5,5,5,5,7
021NW11,1,1,0,4,4,4,5,5,5,8,7
021NW12,1,1,0,4,4,4,99,99,5,5,99
021NW13,2,1,1,4,4,4,5,5,5,8,8
021NW14,2,1,0,4,4,4,99,99,5,99,8
021OW01,2,2,0,2,2,2,5,5,5,5,9
021OW02,1,2,1,2,2,2,99,99,99,99,99
021OW03,1,2,0,2,2,2,5,5,5,5,8
021OW04,1,2,0,2,2,2,5,5,99,8,7
021OW05,1,2,0,2,2,2,5,5,5,5,8
021OW06,2,2,1,2,2,2,5,5,5,9,9
021OW07,1,2,1,2,2,2,5,5,5,5,8
021OW08,1,2,,2,2,2,5,5,5,7,7
021OW09,1,2,0,2,2,2,5,5,5,5,7
021OW10,1,2,0,2,2,2,5,5,5,8,8
021OW11,1,2,1,2,2,2,5,5,5,99,5
021OW12,2,2,1,2,2,99,99,99,99,99,99
021OW13,2,2,0,2,2,2,99,99,5,99,99
021OW14,1,2,0,2,2,2,5,5,5,5,8
021OW15,1,2,0,2,2,2,5,5,5,99,7
021OW16,2,2,1,2,2,2,5,5,5,9,99
021OW17,1,2,0,2,2,2,5,5,5,8,99
021OW18,2,2,1,2,2,2,5,5,5,5,8
